Id,modularity_class,user_id,user_name,Organization,Catergory_1,Catergory_2,Position,Gender,Race,Past Bio Details,user_description,White Hse?,Correspondent?,Video?,user_urls,Newsroom_1,Newsroom_2,shared past,TV contract?,Radio?,user_statuses_count,user_followers_count,user_friends_count,user_favourites_count,user_listed_count,user_verified,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,closnesscentrality,betweenesscentrality,clustering,eigencentrality,Authority,Hub,Notes
LucasFoxNews,2,1176004076,Lucas Tomlinson,Fox News,Television Network News and Public Affairs,Radio_and_Television,,M,W,0,Covering the Pentagon for Fox News,FALSE,FALSE,FALSE,http://www.foxnews.com/archive/lucas-tomilson/index.html,Fox, ,N,Y, ,10566,14237,538,3388,411,TRUE,56,44,100,244,126,370,0.330743,6012.925978,0.142857,0.104651,0.020114,0.014726,links to bio on fox http://www.foxnews.com/person/t/lucas-tomilson.html
juliannagoldman,2,17869798,Julianna Goldman,CBS News,Television Network News and Public Affairs,Radio_and_Television,,F,White,-,"Abner's mom, beholden to Mason the Pugabull and proud Barnard alumna Correspondent at CBS News based in Washington, D.C.",FALSE,TRUE,FALSE, ,CBS, , , , ,3297,13718,1481,1009,543,TRUE,38,25,63,59,51,110,0.32993,2674.604168,0.146682,0.108322,0.019289,0.01628,-
LelandVittert,2,21010253,Leland Vittert,Fox News,Television Network News and Public Affairs,Radio_and_Television,Anchor & Correspondent,M,White,-,Got a tip? Wickr @middleeastnomad on Confide using Leland.Vittert@foxnews.com,FALSE,FALSE,FALSE,http://www.foxnews.com/on-air/personalities/leland-vittert/bio/#s=r-z,Fox, ,N,Y, ,1782,13699,666,8,235,TRUE,7,8,15,11,18,29,0.285972,264.870241,0.230769,0.003924,0.001414,0.001177,"""Wickr @middleeastnomad on Confide using Leland.Vittert@foxnews.com"""
stevenportnoy,2,24703826,Steven Portnoy,CBS News,Television Network News and Public Affairs,Radio_and_Television,"White House Correspondent, CBS Radio",M,White,-,Covering the White House for @CBSNews on the @CBSNewsRadio Network. Legal wonk. History buff. Broadcaster.,TRUE,FALSE,FALSE,http://www.cbsnews.com/news/steven-portnoy/,CBS, , , , ,17136,13531,1710,1173,639,TRUE,74,27,101,221,103,324,0.328378,8717.075447,0.151685,0.220105,0.042102,0.013866,-
maryaliceparks,2,262691862,MaryAlice Parks,ABC News,Television Network News and Public Affairs,Radio_and_Television,"Producer & Reporter, Captiol Hill",F,White,"""@Columbiajourn @Columbia @ThisWeekABC alumna""",National political reporter @ABC. Pacific Northwest native. Vegetarian who cheats and eats prosciutto sometimes. @Columbiajourn @Columbia @ThisWeekABC alumna,FALSE,FALSE,FALSE, ,ABC, ,N,N, ,5175,13079,1036,387,458,TRUE,22,10,32,61,27,88,0.283832,400.395065,0.268333,0.056977,0.009177,0.001981,-
KFaulders,2,177028305,Katherine Faulders,ABC News,Television Network News and Public Affairs,Radio_and_Television,White House Correspondent,F,White,-,Reporting on the White House for @ABC News. Serious Sriracha addict. Foodie. Coffee snob. @UVA Snaps: k_faulders / Grams: kfaulders,TRUE,FALSE,FALSE, ,ABC, ,N,Y, ,11019,12980,2602,2726,475,TRUE,38,38,76,91,106,197,0.331245,5936.63223,0.179467,0.110469,0.017878,0.016407,Lists Snaps: k_faulders / Grams: kfaulders
jparkABC,2,26596727,John R Parkinson,ABC News,Television Network News and Public Affairs,Radio_and_Television,White House Reporter & Producer,M,White,-,@ABC Congressional & White House Reporter / Producer #baraboo,TRUE,FALSE,FALSE,http://abcnews.go.com/author/john_parkinson,ABC, ,N,Y, ,7177,11808,1827,2451,451,TRUE,34,10,44,62,19,81,0.305818,612.542625,0.220484,0.099398,0.016658,0.005884,-
MLevineReports,2,162563093,Mike Levine,ABC News,Television Network News and Public Affairs,Radio_and_Television,,M,White,"""@FoxNews & @MedillSchool alum""","@ABC News Reporter/Producer covering law enforcement, terrorism and homeland security. @FoxNews & @MedillSchool alum ... Tips welcome: mike.levine@abc.com",FALSE,FALSE,FALSE,http://abcnews.go.com/author/mike_levine,ABC, ,Y (Fox),Y, ,2911,10323,948,116,323,TRUE,68,21,89,147,44,191,0.324108,9836.345675,0.124505,0.165057,0.029008,0.008015,-
ArletteSaenz,2,21878635,Arlette Saenz,ABC News,Television Network News and Public Affairs,Radio_and_Television,,F,White,-,ABC News White House Reporter/Producer. Texas born and raised. Notre Dame grad. Go Irish!,TRUE,FALSE,FALSE,http://abcnews.com/politics,ABC, ,N,Y, ,12999,9796,2181,461,524,TRUE,23,18,41,48,40,88,0.311886,1602.725814,0.326882,0.076534,0.009271,0.007153,"Senate list says ""Katherine Saenz"""
KennethMoton,2,282609416,Kenneth Moton,ABC News,Television Network News and Public Affairs,Radio_and_Television,,M,Black,-,"Correspondent for @ABC News covering major national and international news stories! Based out of Washington, D.C. Kenneth.Moton@abc.com",FALSE,TRUE,FALSE,https://www.facebook.com/KennethMotonKMo,ABC, ,N,Y, ,16187,9560,986,5197,165,TRUE,6,13,19,10,19,29,0.297883,3011.869417,0.333333,0.006246,0.000638,0.003413,-
SutherlandFox,2,2421093038,Rachel Sutherland,Fox News Radio,Television Network News and Public Affairs,Radio_and_Television,,F,White,-,"Curious journalist at Fox News Radio. I usually follow back, except people who forget to put their clothes on.",FALSE,FALSE,FALSE, ,FOX, , , , ,1841,9283,9209,1007,134,TRUE,3,9,12,5,17,22,0.276545,506.240917,0.111111,0.001783,0.0001,0.001925,-
TheDCVince,2,69022849,Vince Coglianese,Daily Caller,Digital,Senate_Press_Galleries,Editor in Chief,M,White,-,"Host, ‚ÄúMornings On The Mall,‚Äù @WMALDC | Editorial Director, @DailyCaller",FALSE,FALSE,FALSE,http://dailycaller.com,Daily Caller,WMAL-DC,N,N,radio,12458,9200,1543,695,306,TRUE,7,16,23,13,28,41,0.309452,129.837399,0.329167,0.009129,0.001657,0.005148,-
GriffJenkins,2,346781925,Griff Jenkins,Fox News,Television Network News and Public Affairs,Radio_and_Television,Correspondent,M,White,-,Correspondent @foxnews ~ Proud father ~ runner ~ triathlete ~ die hard surfer!,FALSE,TRUE,FALSE,http://fxn.ws/131bba4,Fox, ,N,Y, ,2430,9168,3066,1741,171,TRUE,4,5,9,4,7,11,0.283371,62.294831,0.339286,0.006095,0.001365,0.001081,-
WeijiaJiangTV,2,170699708,Weijia Jiang,CBS News,Television Network News and Public Affairs,Radio_and_Television,"Correspondent, CBS Newspath",F,Asian,-,@CBSNews / @CBSNewsPath Correspondent based in the Nation's Capital currently covering @POTUS. Pics Over Words? IG üì∑ and Snap üëª me (Same handle) DM me stories,FALSE,TRUE,FALSE,http://www.cbsnews.com,CBS, , , , ,6551,8173,1803,3182,209,TRUE,3,1,4,3,1,4,0.235938,0.923468,0,0.000695,0.000882,0.000138,"""IG 📷 and Snap 👻 me (Same handle) DM me stories"""
LMartinezABC,2,20267484,luis martinez,ABC News,Television Network News and Public Affairs,Radio_and_Television,Pentagon Digital Reporter,M,Hispanic,-,ABC News Pentagon Digital Journalist,FALSE,FALSE,FALSE, ,ABC, ,N,Y, ,7324,7782,965,0,535,TRUE,6,3,9,8,4,12,0.26213,121.629401,0.291667,0.010151,0.001842,0.000412,-
Mosheh,2,14153020,Mosheh Oinounou,CBS News,Television Network News and Public Affairs,Radio_and_Television,"Executive Producer, CBSN",M,White,-,"Executive Producer, @CBSEveningNews",FALSE,FALSE,FALSE,http://www.cbsnews.com,CBS, , , , ,16211,7639,5120,5272,298,TRUE,7,4,11,7,8,15,0.278754,55.446647,0.190909,0.022251,0.004175,0.001153,-
devindwyer,2,18993104,devindwyer,ABC News,Television Network News and Public Affairs,Radio_and_Television,,M,White,-,"Contributing Correspondent and Coordinating Producer in charge of ABC News Penn. Ave team, covering White House, Congress, and campaigns. RTs not = endorsement.",TRUE,TRUE,FALSE,http://www.abcnews.com,ABC, , , , ,4711,7610,692,395,421,TRUE,3,1,4,4,1,5,0.254931,0,0.666667,0.004388,0.000634,0.000355,-
kylieatwood,2,56001656,Kylie Atwood,CBS News,Television Network News and Public Affairs,Radio_and_Television,,F,White,-,State Department reporter for @CBSNews. Lover of ski slopes & all-things-travel.,FALSE,FALSE,FALSE,http://cbsnews.com/politics,CBS, , , , ,9194,7536,2414,1384,289,TRUE,36,37,73,134,116,250,0.344385,5003.552268,0.1951,0.118844,0.016592,0.019655,-
mVespa1,2,353866329,Matt Vespa,Townhall,Digital,Senate_Periodical_Galleries,Associate Editor,M,White,"Also: ""Contributor at http://HotAir.com  and http://BearingArms.com""",Associate Editor https://t.co/8ysl24k96V. Contributor at https://t.co/Y34doK71Un Korean-American. @Giants #GiantsPride,FALSE,FALSE,FALSE,http://townhall.com,Townhall.com," HotAir.com, Triggered Podcast",N,N,radio,81261,7191,3001,12098,280,TRUE,7,35,42,32,146,178,0.344794,4159.39036,0.237302,0.003915,0.001186,0.023793,-
alanhe,2,18986746,Alan He,CBS News,Television Network News and Public Affairs,Radio_and_Television,Congressional Reporter,M,Asian,"""2016 campaign embed.""",CBS Newser on Capitol Hill / 2016 campaign embed,FALSE,FALSE,FALSE,http://cbsnews.com/politics,CBS, , , , ,8695,6491,1183,2843,323,TRUE,70,82,152,145,196,341,0.376727,11647.41667,0.193808,0.261019,0.039597,0.055864,-
MKhan47,2,24844300,Mariam Khan,ABC News,Television Network News and Public Affairs,Radio_and_Television,,F,Middle Eastern,-,@ABC News Producer & Reporter,FALSE,FALSE,FALSE,http://abcnews.go.com,ABC, ,N,Y, ,12889,6328,1862,3643,189,TRUE,15,17,32,26,51,77,0.314868,829.889097,0.25,0.036704,0.005513,0.005896,"Senate list says ""Gray Television."""
JustinFishelABC,2,570295074,Justin Fishel,ABC News,Television Network News and Public Affairs,Radio_and_Television,Washington Digital Reporter,M,White,-,ABC News Supervising Producer in Washington D.C.,FALSE,FALSE,FALSE,http://abcnews.com,ABC, ,N,Y, ,1143,6110,688,31,289,TRUE,30,17,47,47,28,75,0.295863,2006.585559,0.158569,0.06275,0.011272,0.004531,-
PhilipTerzian,2,132215786,PhilipTerzian,Weekly Standard,-,Senate_Periodical_Galleries,,M,White,-,"Senior Writer at @weeklystandard. Anglophile, beagler, bibliophile, cocktail pianist. Favors striped shirts, drives SmartCar, fortunate husband/father.",FALSE,FALSE,FALSE, ,Weekly Standard, ,N,N, ,18606,6055,3115,4241,79,FALSE,2,18,20,5,57,62,0.323448,18.540604,0.261438,0.001228,0.000248,0.010252,-
crousselle,2,16812908,Christine Rousselle üíÅüèª‚Äç‚ôÄÔ∏è,Townhall,Digital,Senate_Periodical_Galleries,,F,White,-,Mainer. Catholic. DC Correspondent at @cnalive @ewtn. @providencecol 13. Usually on or planning a Disney trip.,FALSE,TRUE,FALSE, ,Catholic News Agency,EWTN,N,N, ,131899,5817,1198,18114,213,TRUE,7,29,36,472,505,977,0.338638,5411.86905,0.183871,0.003345,0.00096,0.017033,-
hamrickisms,2,12988312,Mark Hamrick,Bankrate,-,Senate_Periodical_Galleries,,M,White,"""current @SABEW VP. Fmr pres. @PressClubDC""","Senior Economic Analyst & Washington Bureau Chief, @Bankrate, Jayhawk, @SABEW pres. Fmr pres. @PressClubDC",FALSE,FALSE,FALSE,http://www.bankrate.com,NAN, ,N,N, ,31905,5758,6286,9595,291,TRUE,12,52,64,39,115,154,0.37183,9785.230928,0.1464,0.010483,0.006194,0.030698,-
benyc,2,17883494,Ben Siegel,ABC News,Television Network News and Public Affairs,Radio_and_Television,"Digital Reporter, White House & Capitol Hill",M,White,0,"Reporting and producing on Capitol Hill and at the White House for @abc. @uwmadison grad, @nyknicks fan. benjamin.r.siegel(a)https://t.co/hJR9Lg95o6",TRUE,FALSE,FALSE,http://abcnews.go.com/politics,ABC, ,N,Y, ,13070,5755,2760,1895,225,TRUE,45,54,99,139,160,299,0.353024,7616.620283,0.168196,0.108817,0.0235,0.032049,-
joyindc,2,486911734,Joy Lin,Fox News,Television Network News and Public Affairs,Radio_and_Television,,F,Asian,"""Former White House and campaign trail producer.""",@ThisWeekABC show producer. Former White House and campaign trail producer. @Harvardalumni Joy.C.Lin@abc.com,TRUE,FALSE,FALSE,http://www.abcnews.com,ABC, ,N,Y, ,6070,5692,2776,786,211,TRUE,3,4,7,3,5,8,0.295462,19.621631,0.142857,0.008628,0.001441,0.001903,-
RebeccaRKaplan,2,109446583,Rebecca Kaplan,CBS News,Television Network News and Public Affairs,Radio_and_Television,,F,White,"""former reporter @CBSPolitics and @nationaljournal, CBS/NJ 2012 embed.""","Capitol Hill producer @CBSNews, previously @CBSEveningNews, @CBSPolitics and @nationaljournal, CBS/NJ 2012 campaign embed. RTs do not equal endorsements.",FALSE,FALSE,FALSE,http://www.cbsnews.com/evening-news/,CBS, , , , ,10740,5687,1596,323,381,TRUE,26,29,55,70,96,166,0.337916,5086.729008,0.224329,0.093926,0.012328,0.018833,-
mirandacgreen,2,94418344,Miranda Green,The Hill,Capitol Hill publications,Radio_and_Television,,F,White ,Previously at @ScrippsNews & @thedailybeast. ,Energy & Environment reporter @TheHill Past: @CNNpolitics @ScrippsNews & @thedailybeast. CA to DC.   Email: mgreen@thehill.com,FALSE,FALSE,FALSE,http://www.mirandacgreen.com,TheHill, , , , ,18797,5557,2295,3060,247,TRUE,26,17,43,41,41,82,0.323088,2945.454773,0.172673,0.045815,0.013968,0.010667,Now at CNNPolitics 
AbigailCBN,2,3066095122,Abigail Robertson,CBN News,-,Radio_and_Television,Congressional Correspondent,F,White,-,"CBN News Capitol Hill Correspondent, UVA 2012. {My command is this: Love each other as I have loved you. -John 15:12}",FALSE,TRUE,FALSE,http://www.cbnnews.com,CBN, ,N,Y, ,3906,5543,1469,986,62,FALSE,6,5,11,21,25,46,0.2495,1771.072257,0.566667,0.001699,0.000159,0.00007,-
JenniferWishon,2,21326212,Jennifer Wishon,CBN News,-,Radio_and_Television,,F,White,-,@CBNNews Senior Washington Correspondent. Jesus follower.  Lover of cool mountain breezes & twirling in poofy skirts.  New mom to @BabyGilbertVA,FALSE,TRUE,FALSE,http://www.cbnnews.com,CBN, ,N,Y, ,5408,5484,1062,1727,159,FALSE,4,6,10,19,14,33,0.292736,3034.092553,0.433333,0.001338,0.000096,0.001048,-
IleanaMDiaz,2,14655023,Ileana Diaz,WUSA–TV,Local TV Stations,Radio_and_Television,Freelance Reporter & Anchor,F,White,-,Mom to V & Z. Married to another TV reporter. Mabel + Killas dog walker. Adult in Training. Nicknamed Bugs. From LAüìçin DC: https://t.co/ej2Of8zeub,FALSE,FALSE,FALSE,https://bugsbasically.com,retired?, , , , ,4421,5424,804,1271,52,FALSE,1,4,5,1,6,7,0.281004,16.142562,0.25,0.000172,0.000146,0.000691,-
WardDPatrick,2,3353220134,Pat Ward,Fox News,Television Network News and Public Affairs,Radio_and_Television,,M,White,"""Former 2016 @FoxNews Embed.""","Producer, @FoxNewsSunday. Former 2016 @FoxNews Embed, flew w/ Rubio & Kaine. I like Tom Brady better than I like you. Opinions are my own.",FALSE,FALSE,FALSE,http://www.dailymotion.com/video/x47u8oa,Fox, ,N,Y, ,16035,5164,989,14974,169,TRUE,59,78,137,201,293,494,0.370252,23032.17362,0.143817,0.163891,0.02531,0.044632,-
6abcJeannette,2,637052996,Jeannette Reyes,ABC 7,Local TV Stations,Radio_and_Television,#N/A,F,#N/A,#N/A,"From Providence, RI. Dominican. Foodie, love Salsa dancing, a good book and coffee! Retweets not endorsements. IG @MsNewsLady",FALSE,FALSE,FALSE,http://6abc.com/about/newsteam/jeannette-reyes/,ABC-L, ,N,Y, ,10779,5141,890,3246,124,TRUE,2,20,22,2,31,33,0.326107,2990.812339,0.152632,0.003482,0.00031,0.008961,#N/A
alex_mallin,2,384335594,Alex Mallin,ABC News,Television Network News and Public Affairs,Radio_and_Television,White House Correspondent,M,White,-,Covering the White House for @ABC  Alexander.W.Mallin@abc.com,TRUE,FALSE,FALSE,http://abcnews.go.com,ABC, ,N,Y, ,9961,5120,2845,5910,217,TRUE,36,18,54,89,54,143,0.31222,772.185535,0.202431,0.074645,0.018385,0.006256,-
meekwire,2,44478236,James Gordon Meek,ABC News,Television Network News and Public Affairs,Radio_and_Television,,M,White,"""ex-NYDN.""","ABC News Investigative Reporter. Artist, photodog, war writer. Emmy, SPJ awards. Former Senior Counterterror Advisor @HouseHomeland. Ex-NYDN, UPI. IG: @meekwire",FALSE,FALSE,FALSE,https://cchs.gwu.edu/james-gordon-meek,ABC, ,N,Y, ,20097,4998,1361,2185,310,TRUE,9,8,17,32,24,56,0.28177,92.883366,0.247253,0.022222,0.004233,0.002243,Lists IG: @meekwire
SerenaMarsh,2,25112718,Serena Marshall,ABC News,Television Network News and Public Affairs,Radio_and_Television,Multi-Platform Reporter,F,White,-,"Multi-Platform Reporter @ABC, White House, Cuba, immigration, healthcare, gov waste/fraud. @UFJSchool #gator yogi, #worldTraveler RT/fave ‚â†endorsement",TRUE,FALSE,FALSE,http://abcnews.go.com/,ABC, ,N,Y, ,18420,4994,1582,612,236,TRUE,15,52,67,35,154,189,0.353096,4203.260237,0.202381,0.024636,0.004124,0.032226,-
LanaZak,2,211330724,"Lana Zak, ABC",ABC News,Television Network News and Public Affairs,Radio_and_Television,,M,Asian/White,-,"Journalist @ABC covering politics & government in DC. Korea-born, Iowa-raised, NYC citizen. @uiowa & @Kennedy_School Policy-wonkette thinks science can be sexy.",FALSE,FALSE,FALSE,http://abcnews.com,ABC, ,N,Y, ,2193,4896,1029,1053,125,TRUE,4,2,6,4,3,7,0.293228,912.11961,0.35,0.004614,0.000728,0.000854,-
ArdenFarhi,2,22189918,Arden Farhi,CBS News,Television Network News and Public Affairs,Radio_and_Television,,M,White,-,White House producer @CBSNews and producer of @TakeoutPodcast  farhia@cbsnews.com,TRUE,FALSE,FALSE,http://www.cbsnews.com,CBS, , , , ,2058,4862,941,160,206,TRUE,10,4,14,18,5,23,0.273811,49.19267,0.3,0.022067,0.002081,0.001198,-
RichEdsonDC,2,213767250,Rich Edson,Fox News,Television Network News and Public Affairs,Radio_and_Television,,M,White,-,"Washington Correspondent, Fox News Channel, covering the U.S. State Department. Email tips to rich.edson@protonmail.com",FALSE,TRUE,FALSE,http://www.foxnews.com,Fox, ,N,Y, ,5625,4766,1550,1,184,TRUE,18,10,28,34,19,53,0.319773,1718.184164,0.234211,0.036944,0.007227,0.004685,Lists secure email rich.edson@protonmail.com.
Garrett_FoxNews,2,350426737,Garrett Tenney,Fox News,Television Network News and Public Affairs,Radio_and_Television,,M,W,"""former @Fncjrreporters, @byu grad""","Nat'l Correspondent for @FoxNews. Proud husband/father; son of 2X cancer survivor; lover of God, family, food,& football. @FNCJrReporters @BYU alum, & a Mormon.",FALSE,TRUE,FALSE,http://www.foxnews.com/on-air/personalities/garrett-tenney/bio/#s=r-z,Fox, ,N,Y, ,4319,4745,1620,1170,107,TRUE,1,3,4,2,7,9,0.256996,0,0.666667,0.00122,0.000063,0.000358,"links to bio, vine loops, and broadcasts!"
RealBrittHughes,2,29220591,Brittany Hughes,MRCTV,-,Radio_and_Television,Managing Editor,F,White,-,"Managing Editor at @MRCTV. Contributing blogger for @savethestorks, featured on @FoxNation. Follow me on Facebook at https://t.co/cDB3f8131H",FALSE,FALSE,FALSE,https://www.mrctv.org/author/brittany-m-hughes,MRCTV, ,N,Y, ,4436,4617,454,1941,75,FALSE,4,12,16,16,27,43,0.315609,3655.398194,0.211538,0.000997,0.000409,0.007479,"Senate list says ""CNSNews.com."""
CBSWalsh,2,48821786,Mary Walsh,CBS News,Television Network News and Public Affairs,Radio_and_Television,Pentagon Producer,F,White,-,"Emmy Award winning CBS News Pentagon producer, covers national security & defense issues. University of Texas graduate",FALSE,FALSE,FALSE, ,CBS, , , , ,4727,4592,1001,94,272,TRUE,11,18,29,16,35,51,0.322969,1301.523202,0.201087,0.019361,0.001789,0.008402,-
CatSzeltner,2,91010836,Catherine Hadro,EWTN,-,Radio_and_Television,"Host, EWTN Pro-Life Weekly",F,White,-,Wife to @MattHadro. Daughter. Sister. Friend. Host of @EWTN #ProLife Weekly. Displaced Floridian & forever a Seminole.  cszeltner@ewtn.com,FALSE,FALSE,FALSE,http://ewtn.com/series/shows/prolife-weekly/index.asp,EWTN, ,N,Y, ,7693,4545,2203,4094,101,TRUE,6,6,12,24,17,41,0.256166,3813.248627,0.5,0.001325,0.000263,0.000029,-
BenjaminBell,2,24594836,Ben Bell,ABC News,Television Network News and Public Affairs,Radio_and_Television,,M,White,-,deputy managing editor @abc digital | retweets are *not* endorsements | Benjamin dot L dot Bell @gmail.com,FALSE,FALSE,FALSE,http://Instagram.com/benjaminlbell,ABC, ,N,Y, ,30323,4539,3768,4379,198,TRUE,1,19,20,1,25,26,0.327884,559.874981,0.195906,0.002804,0.000098,0.011364,-
JordynPhelps,2,78397856,Jordyn Phelps,ABC News,Television Network News and Public Affairs,Radio_and_Television,White House Reporter,F,White,-,I cover the White House for ABC.,TRUE,FALSE,FALSE,http://abcnews.go.com/Politics,ABC, ,N,Y, ,2580,4493,1198,91,257,TRUE,31,11,42,79,20,99,0.301278,856.568022,0.219328,0.076971,0.01394,0.003442,-
ScottThuman,2,21922229,Scott Thuman,ABC 7,Local TV Stations,Radio_and_Television,Chief Politcal Correspondent ,M,White ,"Sinclair & @fullmeasurenews in #WashingtonDC, ","Chief Political Correspondent for Sinclair, @abc7news  & @fullmeasurenews in #WashingtonDC, world traveler, amateur photographer & owner of Olive the chihuahua.",FALSE,TRUE,FALSE,http://wjla.com/station/people/scott-thuman,ABC-L,Full Measure News,N,Y, ,5613,4453,657,400,216,TRUE,10,3,13,12,6,18,0.267802,3016.934093,0.068182,0.002618,0.000306,0.001623,0
sramosABC,2,15289200,Stephanie Ramos,ABC News,Television Network News and Public Affairs,Radio_and_Television,,F,Hispanic,-,@ABC News Correspondent /U.S. Army Reserve Major/ Iraq War Veteran,FALSE,TRUE,FALSE,http://abcnews.com,ABC, ,N,Y, ,9659,4449,1580,6799,123,TRUE,11,19,30,26,28,54,0.308522,2532.539428,0.201667,0.013626,0.00221,0.008121,-
David_Kerley,2,36696370,David Kerley,ABC News,Television Network News and Public Affairs,Radio_and_Television,Correspondent,M,White,-,"Senior Transportation Correspondent, @ABC News. Covers transportation, a bit of politics, and the occasional natural disaster.  Instagram: @davidkerleyabc",FALSE,TRUE,FALSE,http://abcnews.go.com/author/david_kerley,ABC, ,N,Y, ,3192,4356,187,30,159,TRUE,5,3,8,17,11,28,0.223117,87.703058,0.45,0.001482,0.000048,0.000037,-
WCronkite,2,70709534,Walt Cronkite,CBS News,Television Network News and Public Affairs,Radio_and_Television,,M,White,-,CBS News Capitol Hill Producer,FALSE,FALSE,FALSE,http://cbsnews.com,CBS, , , , ,1955,4193,1154,304,0,FALSE,4,3,7,5,3,8,0.282271,14.694422,0.166667,0.009428,0.001495,0.001498,-
Jennasakwa,2,131630960,Jenna Sakwa,CBS News,Television Network News and Public Affairs,Radio_and_Television,"Editorial Producer, CBS This Morning",F,White,-,Director of Media Affairs for @SpeakerRyan,FALSE,FALSE,FALSE, ,Speaker Ryan, ,N,N, ,4110,4029,2828,2235,128,FALSE,0,2,2,0,2,2,0.27116,0,0,0,0,0.000842,-
phillyrich1,2,63717541,Rich Weinstein,C–SPAN,Television Network News and Public Affairs,Radio_and_Television,,M,White,-,"Obamacare's Digital Menace.  ‚ÄúWe‚Äôre from Philly, f-ing Philly, you don‚Äôt like us, we don‚Äôt care.‚Äù",FALSE,FALSE,FALSE, ,NAN, , , , ,35823,3952,807,22590,111,FALSE,2,16,18,182,228,410,0.321126,86.429204,0.283333,0.000608,0.000035,0.010658,-
nbctracie,2,30295180,Tracie Potts,NBC News,Television Network News and Public Affairs,Radio_and_Television,,F,Black,-,Early-bird... sifting through the latest DC news... while you're still in REM sleep. See you at 4am!,FALSE,FALSE,FALSE,http://www.nbcwashington.com/on-air/about-us/Tracie-Potts-86211127.html,NBC, , , , ,8398,3922,890,1547,157,FALSE,2,1,3,2,1,3,0,0,0.5,0.000466,0.000042,0,-
ajdukakis,2,45128645,Ali Dukakis,ABC News,Television Network News and Public Affairs,Radio_and_Television,Digital Political Reporter,F,White,-,"Reporter/Producer, @ABC Investigations in Washington, D.C. RT‚â†E; opinions all mine. tips v welcome -- email: alexandra.dukakis@abc.com sig: 202-440-1198",FALSE,FALSE,FALSE,http://abcnews.go.com/politics,ABC, ,N,Y, ,7267,3767,2837,361,160,TRUE,9,17,26,17,48,65,0.293722,621.731187,0.368421,0.029865,0.002849,0.003506,-
JakeBGibson,2,34329929,Jake Gibson,Fox News,Television Network News and Public Affairs,Radio_and_Television,,M,White,-,"Father, Husband, @FoxNews Washington DOJ producer, @sfgiants Fanatic, owner of a Fierce '67 Firebird. 213*818*415*707*209*307*916*505*704*+972(02)*202*703*",FALSE,FALSE,FALSE,http://foxnews.com,Fox, ,N,Y, ,791,3727,1230,75,75,TRUE,26,7,33,55,15,70,0.283095,2087.089337,0.192118,0.064083,0.009624,0.00195,-
CNHorn,2,199836680,Caroline Horn,CBS News,Television Network News and Public Affairs,Radio_and_Television,,F,White,-,Washington Senior Producer for the @CBSEveningNews,FALSE,FALSE,FALSE, ,CBS, , , , ,5648,3695,906,103,213,FALSE,2,3,5,2,3,5,0.279155,1745.969045,0,0.003104,0.000492,0.001273,-
malbertnews,2,36246939,Mark Albert,The Voyage Report,-,Radio_and_Television,Editor-in-Chief,M,White,"""Previous: @CBSNews, @WUSA9, @KSTP, @WWMTnews, KHSL.""","Editor-in-chief: @voyagereport & globetrotter. Peabody Award-winning journalist. Previous: @CBSNews, @WUSA9, @KSTP, @WWMTnews, KHSL. https://t.co/CU30FEyQ6D",FALSE,FALSE,FALSE,http://www.linkedin.com/in/markalbertreporter/,Hearst TV,Voyage Report,N,Y, ,33091,3695,92,9,272,TRUE,5,6,11,199,205,404,0.288907,36.254966,0.277778,0.004344,0.001784,0.002566,"Senate list says ""CBS News."""
NBCLOU,2,22831423,Louis Burgdorf,MSNBC,Television Network News and Public Affairs,Radio_and_Television,"Correspondent & Producer, Morning Joe",M,White,-,"Morning Joe Correspondent, Producer, Traveler, Photographer, Lover. Views are my own.",FALSE,TRUE,FALSE, ,Morning Joe, ,N,N, ,997,3597,1030,837,84,FALSE,0,2,2,0,2,2,0.260364,0,0,0,0,0.001475,"Senate list says ""NBC News."""
hagerhoo,2,58908090,Mary Hager,CBS News,Television Network News and Public Affairs,Radio_and_Television,,F,White,-,"Executive Producer of CBS News Face the Nation, Kate's mom and Bruce Springsteen, Nationals & Dodgers fan.  Tweets do not reflect the views of CBS News.",FALSE,FALSE,FALSE, ,CBS, , , , ,765,3527,755,99,119,TRUE,4,6,10,6,8,14,0.299211,738.242861,0.261905,0.01437,0.00304,0.003552,-
blambrecht,2,15938122,Bill Lambrecht,Hearst Newspapers,-,Senate_Press_Galleries,,M,White,-,"Hearst Newspapers/San Antonio Express-News, DC. Books: Dinner at the New Gene Cafe; Big Muddy Blues. Illinois native; Chesapeake Bay guy. Garlic grower.",FALSE,FALSE,FALSE,http://www.williamlambrecht.com,Hearst Newspapers, ,N,N, ,4597,3496,1910,70,168,TRUE,2,2,4,3,8,11,0.287669,22.389768,0,0.001136,0.000878,0.000126,-
BlakeBurman,2,61200555,Blake Burman,Fox Business Network,Newspapers,Radio_and_Television,,M,White,-,"Washington Correspondent, Fox Business Network",FALSE,TRUE,FALSE,http://foxbusiness.com,Fox, ,N,Y, ,5145,3410,251,49,146,TRUE,7,6,13,19,12,31,0.299263,25.223537,0.458333,0.015779,0.002603,0.001795,-
